female,year,temp,precip
1,1996,10.9,558
1,1996,10.9,558
1,1996,10.9,558
1,1996,10.9,558
1,1996,10.9,558
1,1996,10.9,558
1,1996,10.9,558
1,1996,10.9,558
1,1996,10.9,558
0,1996,10.9,558
0,1996,10.9,558
0,1996,10.9,558
0,1996,10.9,558
0,1996,10.9,558
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
1,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
0,1997,10.4,574
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
1,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
0,1998,10.4,738
1,1999,11.3,505
1,1999,11.3,505
1,1999,11.3,505
1,1999,11.3,505
1,1999,11.3,505
1,1999,11.3,505
1,1999,11.3,505
0,1999,11.3,505
0,1999,11.3,505
0,1999,11.3,505
0,1999,11.3,505
0,1999,11.3,505
0,1999,11.3,505
0,1999,11.3,505
1,2000,11.8,544
1,2000,11.8,544
1,2000,11.8,544
1,2000,11.8,544
1,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
0,2000,11.8,544
1,2001,10.3,481
1,2001,10.3,481
1,2001,10.3,481
1,2001,10.3,481
1,2001,10.3,481
1,2001,10.3,481
1,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2001,10.3,481
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
0,2002,11.5,327
1,2003,10.9,565
1,2003,10.9,565
1,2003,10.9,565
1,2003,10.9,565
1,2003,10.9,565
1,2003,10.9,565
1,2003,10.9,565
1,2003,10.9,565
1,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
0,2003,10.9,565
1,2004,11.1,597
1,2004,11.1,597
1,2004,11.1,597
1,2004,11.1,597
1,2004,11.1,597
1,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
0,2004,11.1,597
1,2005,10.9,544
1,2005,10.9,544
1,2005,10.9,544
1,2005,10.9,544
1,2005,10.9,544
1,2005,10.9,544
1,2005,10.9,544
1,2005,10.9,544
1,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
0,2005,10.9,544
1,2006,11.9,382
1,2006,11.9,382
1,2006,11.9,382
1,2006,11.9,382
1,2006,11.9,382
1,2006,11.9,382
1,2006,11.9,382
1,2006,11.9,382
0,2006,11.9,382
0,2006,11.9,382
0,2006,11.9,382
0,2006,11.9,382
1,2007,10.8,496
0,2007,10.8,496
0,2007,10.8,496
0,2007,10.8,496
0,2007,10.8,496
0,2007,10.8,496
0,2007,10.8,496
0,2007,10.8,496
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
1,2008,11.1,438
0,2008,11.1,438
0,2008,11.1,438
0,2008,11.1,438
0,2008,11.1,438
1,2009,10.7,592
1,2009,10.7,592
1,2009,10.7,592
1,2009,10.7,592
1,2009,10.7,592
1,2009,10.7,592
1,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
0,2009,10.7,592
1,2010,9.8,592
1,2010,9.8,592
0,2010,9.8,592
0,2010,9.8,592
0,2010,9.8,592
0,2010,9.8,592
0,2010,9.8,592
1,2011,11.2,443
0,2011,11.2,443
0,2011,11.2,443
0,2011,11.2,443
1,2012,12.4,482
1,2012,12.4,482
1,2012,12.4,482
0,2012,12.4,482
0,2012,12.4,482
1,2013,10.9,417
1,2013,10.9,417
0,2013,10.9,417
0,2013,10.9,417
0,2013,10.9,417
0,2013,10.9,417
0,2013,10.9,417
0,2013,10.9,417
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
1,2014,10.7,972
0,2014,10.7,972
0,2014,10.7,972
0,2014,10.7,972
0,2014,10.7,972
0,2014,10.7,972
0,2014,10.7,972
1,2015,11,747
1,2015,11,747
0,2015,11,747
0,2015,11,747
0,2015,11,747
